strike,option_type,bid,ask,mid_db,reimplied_iv_db,reimplied_iv_proj,vendor_iv,mid_proj,diff_vp
390.0,put,0.25,0.26,0.255,0.26296756795308773,0.2629675679530877,0.262,0.255,5.551115123125783e-15
395.0,put,0.28,0.29,0.28500000000000003,0.25285874406042225,0.2528587440604222,0.25113,0.285,5.551115123125783e-15
400.0,put,0.32,0.33,0.325,0.24340786356063046,0.2434078635606304,0.24248,0.325,5.551115123125783e-15
401.0,put,0.33,0.34,0.335,0.2416578904239174,0.2416578904239174,0.23999,0.335,0.0
402.0,put,0.33,0.34,0.335,0.23873417786686874,0.2387341778668687,0.23715,0.335,2.7755575615628914e-15
403.0,put,0.34,0.35,0.345,0.23693696981678553,0.2369369698167855,0.23515,0.345,2.7755575615628914e-15
404.0,put,0.35,0.36,0.355,0.23510160693269025,0.2351016069326902,0.23393,0.355,5.551115123125783e-15
405.0,put,0.36,0.37,0.365,0.2332295949417659,0.2332295949417659,0.23228,0.365,0.0
406.0,put,0.37,0.38,0.375,0.23132232130537922,0.2313223213053792,0.22966,0.375,2.7755575615628914e-15
407.0,put,0.38,0.39,0.385,0.2293810662137341,0.2293810662137341,0.22785,0.385,0.0
408.0,put,0.39,0.4,0.395,0.22740701222333465,0.2274070122233346,0.22622,0.395,5.551115123125783e-15
409.0,put,0.4,0.41,0.405,0.22540125273008493,0.2254012527300849,0.22435,0.405,2.7755575615628914e-15
410.0,put,0.41,0.42,0.415,0.2233647994539456,0.2233647994539456,0.2218,0.415,0.0
411.0,put,0.42,0.43,0.425,0.221298588964907,0.221298588964907,0.21945,0.425,0.0
412.0,put,0.44,0.45,0.445,0.22008038404435473,0.219203488684894,0.21778,0.435,0.08768953594607276
413.0,put,0.45,0.46,0.455,0.2179366079358216,0.2170803018916851,0.21532,0.445,0.08563060441365011
414.0,put,0.46,0.47,0.46499999999999997,0.21576619279529247,0.2157661927952924,0.21394,0.4649999999999999,5.551115123125783e-15
415.0,put,0.47,0.48,0.475,0.2135697855579624,0.2135697855579624,0.21224,0.475,0.0
416.0,put,0.49,0.5,0.495,0.21213687978792267,0.2121368797879226,0.2112,0.495,8.326672684688674e-15
417.0,put,0.5,0.51,0.505,0.20987267911301732,0.2098726791130173,0.20827,0.505,2.7755575615628914e-15
418.0,put,0.52,0.53,0.525,0.20833045486174068,0.2083304548617406,0.20744,0.525,8.326672684688674e-15
419.0,put,0.54,0.55,0.545,0.20672469610720867,0.2060029474037447,0.2043,0.535,0.07217487034639758
420.0,put,0.55,0.56,0.555,0.20435934125519847,0.2043593412551984,0.20253,0.555,8.326672684688674e-15
421.0,put,0.57,0.58,0.575,0.20265672273134028,0.2026567227313402,0.20168,0.575,8.326672684688674e-15
422.0,put,0.59,0.6,0.595,0.20089767186293075,0.2008976718629307,0.19912,0.595,5.551115123125783e-15
423.0,put,0.61,0.62,0.615,0.19908451758612095,0.1990845175861209,0.19798,0.615,5.551115123125783e-15
424.0,put,0.63,0.64,0.635,0.19721936560353104,0.197219365603531,0.19637,0.635,2.7755575615628914e-15
425.0,put,0.65,0.66,0.655,0.1953041220557219,0.1953041220557219,0.19424,0.655,0.0
426.0,put,0.68,0.69,0.685,0.1939263846502897,0.1933405137165696,0.19166,0.675,0.05858709337200896
427.0,put,0.7,0.71,0.705,0.19190008734975053,0.1913301052789006,0.1905,0.695,0.05699820708499337
428.0,put,0.73,0.74,0.735,0.19037972782677753,0.1901049165459755,0.18911,0.73,0.02748112808020342
429.0,put,0.75,0.76,0.755,0.18825091647161282,0.1882509164716128,0.18688,0.755,2.7755575615628914e-15
430.0,put,0.78,0.79,0.785,0.18659926876326938,0.1860803098774583,0.18496,0.775,0.05189588858110772
431.0,put,0.81,0.82,0.815,0.18487740447303047,0.1843747869082356,0.18353,0.805,0.05026175647948605
432.0,put,0.84,0.85,0.845,0.18308822892269483,0.1830882289226948,0.18161,0.845,2.7755575615628914e-15
433.0,put,0.88,0.89,0.885,0.18170413475339695,0.1812343326160547,0.18017,0.875,0.04698021373422401
434.0,put,0.91,0.92,0.915,0.17977416027218943,0.1795464116632982,0.17855,0.91,0.022774860889121507
435.0,put,0.95,0.96,0.955,0.17822527896191087,0.1777844988346712,0.17687,0.945,0.0440780127239665
436.0,put,0.99,1.0,0.995,0.1765918601067045,0.1763789315629608,0.17495,0.99,0.021292854374369008
437.0,put,1.03,1.04,1.0350000000000001,0.17487757403619464,0.1746713877218666,0.17303,1.03,0.02061863143280329
438.0,put,1.07,1.08,1.0750000000000002,0.17308565360886935,0.1726855451339728,0.17099,1.065,0.04001084748965489
439.0,put,1.11,1.13,1.12,0.17141235246545575,0.1712189464230638,0.16944,1.1150000000000002,0.019340604239195813
440.0,put,1.16,1.17,1.165,0.16965506148550832,0.1696550614855083,0.16859,1.165,2.7755575615628914e-15
441.0,put,1.21,1.22,1.2149999999999999,0.1679982277584115,0.1676352523594841,0.16628,1.205,0.03629753989274065
442.0,put,1.27,1.28,1.275,0.16660254630228327,0.1659006443241006,0.16469,1.255,0.07019019781826785
443.0,put,1.32,1.34,1.33,0.16492943857307216,0.1647600226278367,0.16344,1.3250000000000002,0.016941594523545156
444.0,put,1.38,1.39,1.3849999999999998,0.16316363523243482,0.1626703673430556,0.16171,1.37,0.04932678893792286
445.0,put,1.44,1.45,1.4449999999999998,0.1614673601922954,0.16114917676554,0.15935,1.435,0.031818342675540845
446.0,put,1.51,1.52,1.5150000000000001,0.1599824491764737,0.1599824491764737,0.15825,1.515,0.0
447.0,put,1.58,1.59,1.585,0.1583854672977885,0.1580878353895057,0.15648,1.5750000000000002,0.029763190828280273
448.0,put,1.65,1.67,1.66,0.156824723128925,0.156824723128925,0.15504,1.66,0.0
449.0,put,1.73,1.74,1.7349999999999999,0.1551512122287442,0.1548722167043789,0.15345,1.725,0.027899552436530528
450.0,put,1.81,1.82,1.815,0.1535039429647251,0.1532336762991107,0.15191,1.805,0.027026666561441592
451.0,put,1.9,1.91,1.9049999999999998,0.15200470908261074,0.1516121485687461,0.15007,1.89,0.03925605138646315
452.0,put,1.99,2.01,2.0,0.15050621370728395,0.1499992427513768,0.14917,1.98,0.050697095590715446
453.0,put,2.09,2.1,2.0949999999999998,0.14887851087378368,0.1485100994923712,0.14702,2.08,0.03684113814124701
454.0,put,2.19,2.21,2.2,0.14736371694854,0.1470067399619327,0.14564,2.185,0.03569769866073047
455.0,put,2.3,2.31,2.3049999999999997,0.14571351874852922,0.1451358900817875,0.14357,2.28,0.05776286667417141
456.0,put,2.41,2.43,2.42,0.1441558113718175,0.1440438999799261,0.14241,2.415,0.011191139189140054
457.0,put,2.54,2.55,2.545,0.14267444162046208,0.1421309525658448,0.14047,2.52,0.0543489054617291
458.0,put,2.67,2.68,2.675,0.14114897748289212,0.1406213551102263,0.1397,2.6500000000000004,0.052762237266582024
459.0,put,2.8,2.82,2.8099999999999996,0.13957447744503845,0.1392670420911,0.13816,2.795,0.030743535393845667
460.0,put,2.95,2.96,2.955,0.1380456308302394,0.1379460600977114,0.13646,2.95,0.009957073252800375
461.0,put,3.1,3.12,3.1100000000000003,0.13654948760693583,0.1357736530024127,0.13488,3.0700000000000003,0.0775834604523129
462.0,put,3.26,3.28,3.2699999999999996,0.1349796345809678,0.1349796345809678,0.13401,3.27,0.0
463.0,put,3.44,3.46,3.45,0.13360741907955426,0.1330560591554818,0.13209,3.42,0.05513599240724587
464.0,put,3.62,3.64,3.63,0.13204969264473587,0.1314223055086435,0.1305,3.595,0.06273871360923666
465.0,put,3.81,3.83,3.8200000000000003,0.13048417657526842,0.129696597200077,0.12876,3.775,0.07875793751914162
466.0,put,4.02,4.05,4.035,0.1291566774452005,0.1282164460161437,0.12664,3.98,0.09402314290568037
467.0,put,4.24,4.27,4.255,0.12770612849072058,0.1267865414485014,0.12519,4.2,0.09195870422191721
468.0,put,4.48,4.5,4.49,0.1262925141097031,0.1262107079012687,0.12537,4.484999999999999,0.008180620843439845
469.0,put,4.72,4.75,4.734999999999999,0.12482158293024512,0.124741339487629,0.12321,4.73,0.008024344261611804
470.0,put,4.99,5.01,5.0,0.12344182956553572,0.1226532589414898,0.1216,4.949999999999999,0.07885706240459145
471.0,put,5.27,5.3,5.285,0.12213604028829461,0.121825784353345,0.12075,5.265000000000001,0.031025593494961312
472.0,put,5.57,5.6,5.585,0.12081171568424016,0.1197409315587694,0.11787,5.515000000000001,0.1070784125470764
473.0,put,5.89,5.91,5.9,0.11945658056448138,0.1192299841529002,0.11747,5.885,0.022659641158118138
474.0,put,6.22,6.25,6.234999999999999,0.11813282418480611,0.1172352756942253,0.1156,6.175000000000001,0.08975484905808101
475.0,put,6.58,6.61,6.595000000000001,0.11689974101423008,0.1158604086936647,0.11487,6.525,0.10393323205653837
476.0,put,6.97,7.0,6.984999999999999,0.11581534168945633,0.1156675913860408,0.11379,6.975,0.014775030341553086
479.0,call,7.83,7.86,7.845000000000001,0.1136515413703299,0.1135795847831038,0.1167,7.84,0.00719565872260991
480.0,call,7.28,7.31,7.295,0.11258731644389636,0.1157548977543804,0.11781,7.515000000000001,-0.3167581310484044
481.0,call,6.75,6.78,6.765000000000001,0.11152010639010843,0.1113756628673569,0.11366,6.755,0.01444435227515306
482.0,call,6.25,6.28,6.265000000000001,0.11058880708365461,0.1104435038047245,0.11248,6.255,0.014530327893011452
483.0,call,5.77,5.8,5.785,0.10964463889806983,0.1122818338199341,0.11481,5.965,-0.2637194921864275
484.0,call,5.31,5.34,5.324999999999999,0.10868319414211265,0.1114250248322368,0.11302,5.51,-0.2741830690124153
485.0,call,4.88,4.91,4.895,0.1078509753283429,0.111233367912441,0.11284,5.12,-0.3382392584098101
486.0,call,4.47,4.5,4.484999999999999,0.10699919285101278,0.1068458561303583,0.10891,4.475,0.015333672065448445
487.0,call,4.09,4.11,4.1,0.1062044638616704,0.106047800705832,0.10739,4.09,0.015666315583839907
488.0,call,3.73,3.75,3.74,0.10547155229357759,0.1053109580136628,0.10664,3.73,0.01605942799147858
489.0,call,3.39,3.41,3.4000000000000004,0.1047253228583498,0.106948303469651,0.10888,3.535,-0.22229806113011896
490.0,call,3.08,3.1,3.09,0.1041388817092825,0.1070223046972919,0.10809,3.26,-0.2883422988009407
491.0,call,2.79,2.81,2.8,0.10355798693081048,0.1033814238375564,0.10442,2.79,0.01765630932540757
492.0,call,2.52,2.54,2.5300000000000002,0.10299106959512426,0.1055431740908101,0.1074,2.67,-0.2552104495685839
493.0,call,2.27,2.29,2.2800000000000002,0.1024491800815477,0.1020661349246675,0.10328,2.26,0.03830451568802018
494.0,call,2.04,2.06,2.05,0.10194667574000442,0.1040345383366111,0.10489,2.155,-0.20878625966066766
495.0,call,1.83,1.85,1.84,0.1015020780998997,0.1011862880882956,0.10204,1.825,0.031579001160408904
496.0,call,1.64,1.66,1.65,0.10113911026090462,0.1031153168072103,0.10372,1.74,-0.19762065463056755
497.0,call,1.46,1.48,1.47,0.10065374985448526,0.1027418996507024,0.10424,1.56,-0.20881497962171452
498.0,call,1.31,1.32,1.315,0.10041437342725812,0.100165601499703,0.1012,1.3050000000000002,0.02487719275551248
499.0,call,1.16,1.18,1.17,0.10009132857543268,0.1020508267145848,0.10264,1.245,-0.19594981391521243
500.0,call,1.04,1.05,1.045,0.09997074142961458,0.1015041991301995,0.10272,1.1,-0.15334577005849115
501.0,call,0.92,0.93,0.925,0.09966534367834892,0.0996653436783489,0.1,0.925,2.7755575615628914e-15
502.0,call,0.81,0.83,0.8200000000000001,0.09948152307440762,0.1012390588696525,0.10191,0.875,-0.17575357952448745
505.0,call,0.56,0.58,0.5700000000000001,0.09925404279830075,0.0990502520880613,0.09938,0.565,0.020379071023944595
510.0,call,0.31,0.32,0.315,0.10001205059150804,0.100012050591508,0.10045,0.315,4.163336342344337e-15
515.0,call,0.18,0.19,0.185,0.1023646767714158,0.1023646767714158,0.10298,0.185,0.0
520.0,call,0.11,0.12,0.11499999999999999,0.10565892346453068,0.1056589234645306,0.10575,0.1149999999999999,8.326672684688674e-15
525.0,call,0.07,0.08,0.07500000000000001,0.10949482010600906,0.109494820106009,0.11017,0.075,5.551115123125783e-15
530.0,call,0.05,0.06,0.055,0.11470094774692041,0.1147009477469204,0.11458,0.055,1.3877787807814457e-15
535.0,call,0.03,0.04,0.035,0.11770600098480277,0.1177060009848027,0.11796,0.035,6.938893903907228e-15
540.0,call,0.03,0.04,0.035,0.12640910726515978,0.1264091072651597,0.12613,0.035,8.326672684688674e-15
545.0,call,0.02,0.03,0.025,0.13032434290534153,0.1303243429053415,0.13057,0.025,2.7755575615628914e-15
550.0,call,0.02,0.03,0.025,0.13850969634457552,0.1385096963445755,0.13884,0.025,2.7755575615628914e-15
555.0,call,0.01,0.02,0.015,0.1396009475639645,0.1396009475639645,0.13923,0.015,0.0
560.0,call,0.01,0.02,0.015,0.14723296118989634,0.1472329611898963,0.14672,0.015,5.551115123125783e-15
565.0,call,0.01,0.02,0.015,0.15475878318478878,0.1547587831847887,0.15454,0.015,8.326672684688674e-15
570.0,call,0.01,0.02,0.015,0.1621828040457399,0.1621828040457399,0.16168,0.015,0.0
575.0,call,0.01,0.02,0.015,0.1695090010521477,0.1695090010521477,0.16933,0.015,0.0
